Rank,Team,Player,Fantsy Position,ADP,Bye,Age,1yr. Proj,3yr. Proj,5yr. Proj,10yr. Proj,DS Analysis,3D Value +
344,NE,Christian Gonzalez,DB,N/A,14,23.8,78,176,285,507,"",0.4
345,HOU,Calen Bullock,DB,N/A,6,22.9,60,177,293,547,"",0.4
346,PHI,Jordan Davis,DL,N/A,9,26.2,55,141,222,355,"",0.4
347,MIN,Aaron Jones,RB,18.02,6,31.3,134.40,268.00,363.00,531.00,"Jones battled through injuries to play all 17 games for the Vikings in 2024, while he set a career-high with 1,138 rushing yards. A predictable decline swopped in for 2025, as Jones again faced injuries -- plus poor QB play. He'll turn 32 next season and remains under contract for one more year.",0.30
348,NO,Alvin Kamara,RB,19.07,11,30.7,89.90,310.00,406.00,469.00,"Kamara set a career low in rushing yards in 2023 (694). He signed a two-year contract extension in October 2024, keeping him under team control through the 2026 season. In '24, he generally outperformed expectations before a late-season groin injury. Another injury surfaced in 2025 -- an MCL sprain -- forcing multiple absences. Now with Travis Etienne in town, Kamara's likely to play elsewhere in the fall.",0.30
349,HOU,Nathaniel Dell,WR,18.06,6,26.4,73.30,295.00,574.00,1107.00,"Between his leg fracture in 2023 and dislocated kneecap and torn ACL in 2024, Dell did not play at all in 2025. His career is in jeopardy, but if Dell can somehow get back healthy, he could be a sneaky add on deep dynasty rosters.",0.30
350,NYG,Tyler Nubin,DB,N/A,14,24.8,86,172,277,478,"",0.3
351,BUF,Maxwell Hairston,DB,N/A,7,22.6,68,175,287,526,"",0.3
352,WAS,Odafe Oweh,DL,N/A,12,27.3,59,142,220,315,"",0.3
353,WAS,Mike Sainristil,DB,N/A,12,25.4,84,178,276,476,"",0.2
354,NYJ,Joseph Ossai,DL,N/A,9,25.9,58,134,222,338,"",0.2
355,WAS,Rachaad White,RB,15.09,12,27.2,146.90,284.00,342.00,480.00,"We were pumped to see White — an athletic back with pass-catching ability — land in Round 3 in 2022. He managed to get on the field early and eventually work in tandem with Leonard Fournette. 2023 turned up workhorse usage, boosted by a thin backfield and a surprisingly effective Baker Mayfield. However, we baked in some dynasty risk following the 2024 arrival of Bucky Irving, who proved pro-ready. White was largely quiet in 2025 -- despite some missed time from Irving. Washington supplies a nice landing spot, but the team could add more talent via the draft.",0.10
356,CLE,Cedric Tillman,WR,24.05,9,25.9,58.70,347.00,557.00,1012.00,"Tillman dealt with multiple injuries in 2025, only playing in 13 games. His 21-270-2 stat line was a step back from 2024, but the Browns horrible passing offense may be to blame. A new offensive system and QB could benefit Tillman in 2026.",0.10
357,NE,Kyle Williams,WR,18.07,14,23.3,76.20,330.00,549.00,1019.00,"Williams did very little in his rookie season, but there were flashes of being a great deep target. Williams went 10-209-3 in 2025 and should earn a larger role in 2026. But, the Patriots will likely address the position further with young WRs to compete with Williams.",0.00
358,BUF,Tyler Bass,K,131.08,7,29.1,141,299,486,902,"",0
359,DET,Kerby Joseph,DB,N/A,8,25.3,90,171,274,473,"",0
360,ATL,Jalon Walker,LB,N/A,5,22.1,63,156,259,510,"",0
361,CHI,Austin Booker,DL,N/A,5,23.3,45,127,217,414,"",0
362,ATL,James Pearce,DL,N/A,5,22.4,61,120,204,408,"",-0.1
363,ATL,Brandon Dorlus,DL,N/A,5,25,52,133,214,358,"",-0.1
364,KC,Drue Tranquill,LB,N/A,10,30.6,102,169,247,352,"",-0.3
365,MIN,Eric Wilson,LB,N/A,6,31.5,118,165,235,328,"",-0.4
366,WAS,Frankie Luvu,LB,N/A,12,29.5,92,169,252,374,"",-0.4
367,ARI,Josh Sweat,DL,N/A,8,29,71,144,194,270,"",-0.4
368,PHI,Andrew Mukuba,DB,N/A,9,23.3,66,170,281,525,"",-0.4
369,NYJ,Will McDonald,DL,N/A,9,26.8,54,139,217,310,"",-0.4
370,LAR,Kamren Kinchens,DB,N/A,8,23.5,73,166,272,506,"",-0.5
371,NYG,Andru Phillips,DB,N/A,14,24.3,71,174,277,489,"",-0.6
372,GB,Brandon McManus,K,359.06,5,34.7,142,308,484,857,"",-0.7
373,CLE,Grant Delpit,DB,N/A,9,27.5,105,172,265,405,"",-0.7
374,MIN,Andrew Van Ginkel,DL,N/A,6,30.8,101,131,170,243,"",-0.7
375,PIT,Derrick Harmon,DL,N/A,5,22.6,46,121,204,378,"",-0.7
376,DEN,Zach Allen,DL,N/A,12,28.6,53,142,210,292,"",-0.8
377,JAC,Chris Rodriguez,RB,18.05,8,25.5,99.10,244.00,374.00,630.00,"Rodriguez gained a short-term value boost after the August trade of Brian Robinson -- and the September Achilles injury to Austin Ekeler. Across 12 games, he notched 500 yards and 6 TDs on 112 attempts. In March, the Jags signed him to a two-year deal with $6.2 million in guarantees. The contract suggests he'll have a chance to carve out a part-time role alongside Bhayshul Tuten.",-0.90
378,GB,Dontayvion Wicks,WR,23.04,5,24.8,66.10,321.00,549.00,998.00,"Wicks continued flashing talent in 2025, but he still remains stuck ina. crowded situation for the Packers. Wicks 6-94-2 game in November against the Lions shows his upside, but he may need to leave Green Bay, but he won't be a free agent until after 2026.",-0.90
379,SEA,Jason Myers,K,328.08,8,34.8,149,304,479,847,"",-0.9
380,PIT,Chris Boswell,K,349.12,5,35,131,312,490,868,"",-0.9
381,SF,Malik Mustapha,DB,N/A,14,23.8,84,164,270,484,"",-0.9
382,MIA,Ollie Gordon II,RB,20.03,12,22.2,43.40,262.00,409.00,688.00,"A tale of two years. Gordon had over 2,000 total yards as a sophomore, flashing great change of direction and vision. He was dangerous in space and used as a receiver in the flat. In his junior season, Gordon couldn’t seem to find any running room and tried to go for the big play too often. His Combine was mediocre, running a 4.61 40-yard dash with pedestrian numbers across the board. Gordon was unspectacular on 70 rookie-year carries behind De'Von Achane. Now, he'll break in a new coaching staff.",-1.00
383,UNS,Keenan Allen,WR,25.02,18,33.9,127.30,336.00,504.00,836.00,"Allen returned to the Chargers and had a strong early season. He ended up going 81-777-4 in 2025, but will turn 34 in the offseason. Allen may have one year left in his NFL career, but will likely have to take a back-up role. It is unlikely he sticks as a fantasy starter in 2026, and certainly is nearing retirement.",-1.00
384,NO,Danny Stutsman,LB,N/A,11,23,54,157,260,486,"",-1
385,RK,Jake Golday,LB,N/A,18,22.8,54,157,260,486,"",-1
386,PHI,Marquise Brown,WR,23.05,9,28.8,62.90,351.00,552.00,916.00,"Brown went 49-587-5 in 2025 and will be a free agent in 2026. He showed that he can still be a contributor and should find his way onto a roster in 2026.",-1.10
387,CAR,Derrick Brown,DL,N/A,14,27.9,66,129,197,285,"",-1.1
388,RK,Max Klare,TE,20.06,18,22.7,77.20,241.00,412.00,765.00,"Klare broke out at Purdue in 2024 with 51-685-4. He took a step back on the Buckeyes last year at 43-448-2, but he showed improved blocking and good route running to be a shallow target. He did have some drops and mental lapses, but Klare can be a Jake Ferguson-type TE.",-1.20
389,RK,Demond Claiborne,RB,21.07,18,22.4,64.80,239.00,387.00,723.00,"Claiborne injured his ribs in the first game of the year that seemed to affect him throughout the season. He is a smaller runner with 4.3 speed who can break long runs. He has 21 rushing TDs over the last two years on a weak Wake Forest offense. Claiborne could certainly have a big play role on an NFL team, but is unlikely to become an NFL three-down back.",-1.20
390,HOU,Danielle Hunter,DL,N/A,6,31.4,80,125,175,287,"",-1.2
391,DEN,Brandon Jones,DB,N/A,12,28,105,169,259,397,"",-1.3
392,HOU,Reed Blankenship,DB,N/A,6,27.1,95,167,258,415,"",-1.3
393,CHI,Montez Sweat,DL,N/A,5,29.5,78,136,176,255,"",-1.3
394,KC,Justin Fields,QB,18.12,10,27,18.00,568.00,908.00,1552.00,"Down-to-down inconsistency remained after signing with the Jets, as Fields was eventually benched for Tyrod Taylor. Fields will likely find a backup job in 2026.",-1.40
395,NYG,Paulson Adebo,DB,N/A,14,26.7,103,162,252,416,"",-1.4
396,NE,Harold Landry,DL,N/A,14,29.8,75,134,174,251,"",-1.5
397,NYG,Darnell Mooney,WR,20.11,14,28.4,107.10,344.00,521.00,824.00,"Mooney took a step back in 2025 going 32-443-1 following up his nearly 1,000 yard season in 2024. Mooney battled injuries throughout the season, but he clearly lost a step in his age-28 season. The Falcons may address the WR position this offseason pushing Mooney further down the depth chart.",-1.60
398,CLE,Mason Graham,DL,N/A,9,22.6,44,115,194,360,"",-1.6
399,BUF,Ed Oliver,DL,N/A,7,28.3,69,121,185,268,"",-1.7
400,GB,Xavier McKinney,DB,N/A,5,27.6,96,166,256,391,"",-1.8
401,GB,Lukas Van Ness,DL,N/A,5,24.7,59,113,190,311,"",-1.8
402,HOU,Tommy Togiai,DL,N/A,6,26.5,55,123,190,289,"",-1.9
403,BAL,Teddye Buchanan,LB,N/A,7,23.4,54,151,250,468,"",-1.9
404,TEN,Jermaine Johnson,DL,N/A,10,27.2,72,117,182,261,"",-2
405,CIN,Boye Mafe,DL,N/A,10,27.3,57,125,195,278,"",-2
406,WAS,Jer'Zhan Newton,DL,N/A,12,23.6,44,115,190,337,"",-2
407,ARI,Will Johnson,DB,N/A,8,23,64,162,265,478,"",-2.1
408,NYG,Dexter Lawrence,DL,N/A,14,28.3,51,124,190,275,"",-2.1
409,DEN,Evan Engram,TE,21.11,12,31.6,84.30,262.00,388.00,626.00,"Engram had high hopes for 2025, but he fell short of expectations (50-461-1). He now heads into his age-32 season in an offense that's suddenly stacked at WR. We're not banking on a 2026 rebound here.",-2.20
410,DEN,Alex Singleton,LB,N/A,12,32.3,120,151,215,299,"",-2.2
411,SF,Dre Greenlaw,LB,N/A,14,28.8,111,144,219,332,"",-2.2
412,ATL,Billy Bowman,DB,N/A,5,23.2,63,162,265,479,"",-2.2
413,NYG,Kayvon Thibodeaux,DL,N/A,14,25.3,50,114,192,314,"",-2.2
414,MIA,Malik Washington,WR,20.09,12,25.4,64.90,328.00,526.00,957.00,"Washington got a shot to play when Tyreek Hill went down with an injury. He went 46-317-3 in 2025, earning the slot role. With a new head coach next year, Washington's role is unknown, but he is worth keeping on the roster to see how the offseason goes.",-2.30
415,LAR,Quentin Lake,DB,N/A,8,27.2,97,163,252,406,"",-2.3
416,LVR,Kwity Paye,DL,N/A,8,27.3,55,120,187,267,"",-2.3
417,ARI,Walter Nolen,DL,N/A,8,22.4,38,111,186,362,"",-2.3
418,CAR,Xavier Legette,WR,22.05,14,25.2,62.70,328.00,530.00,925.00,"Legette had a disappointing sophomore season going 35-363-3. He was beaten out by rookie Tetairoa McMillan and played more of a reserve role this season. With the Panthers' struggles in the passing game, there is little upside for Legette moving forward, except for him only being 25 years old.",-2.40
419,NYG,Calvin Austin III,WR,71.12,14,27,53.90,350.00,538.00,884.00,"Austin worked as the No. 2 WR behind D.K. Metcalf in 2025. He flashed when Metcalf was out due to suspension. He is unlikely to be a long term answer, but he should stick on the Steelers with a role in 2026 and beyond.",-2.40
420,CLE,Tyson Campbell,DB,N/A,9,26,85,163,252,425,"",-2.5
421,NE,Dre'mont Jones,DL,N/A,14,29.2,60,129,174,242,"",-2.5
422,MIA,Jaylen Wright,RB,21.03,12,23,51.70,237.00,387.00,649.00,"Wright was one of the speediest RBs in the 2024 class. According to The Athletic’s Bruce Feldman, Wright hit a Tyreek Hill-like 23.6 MPH in practice. The three-year Volunteer averaged a ridiculous 7.4 yards per carry in 2023, with 19 of his 136 attempts going for 15+ yards (per PFF). He showed out at the Combine with a 4.38 forty time and a 38-inch vertical. Miami provided an ideal landing spot for creative usage, but 2024 turned up light work behind De'Von Achane. The same trend surfaced in '25, while Miami also added rookie RB Ollie Gordon. We'll see how this backfield depth shakes out under a new coaching staff.",-2.60
423,SF,Upton Stout,DB,N/A,14,24.2,72,160,254,449,"",-2.7
424,ATL,Brian Robinson Jr.,RB,19.03,5,27,91.50,278.00,336.00,471.00,"Despite missing several games, Robinson set a career high with 8 rushing scores in 2024. His receiving usage predictably declined, though, while 2025 turned up a move to San Francisco. After playing a handcuff role to CMC, Robinson reached free agency in March.",-2.90
425,NO,Devaughn Vele,WR,22.02,11,28.3,106.90,319.00,502.00,834.00,"Vele was traded from the Broncos to the Saints at the trade deadline. He flashed with an 8-93-1 game with New Orleans, but his usage wasn't consistent enough to be fantasy relevant. Vele should be rostered in deeper dynasty leagues in case he wins a starting spot with QB Tyler Shough growing. ",-2.90
426,CAR,Ja'Tavion Sanders,TE,22.03,14,23,52.70,241.00,399.00,722.00,"Sanders ended as TE47 in PPR points per game in 2025, a disappointing season. A poor Panthers' passing game hurt Sanders' output, but at only 23, there's still a chance of him developing into a useful fantasy piece. Carolina remains thin at TE ahead of the NFL Draft.",-3.00
427,MIA,Zach Sieler,DL,N/A,12,30.5,68,121,160,225,"",-3
428,CIN,Mike Gesicki,TE,24.04,10,30.4,95.70,244.00,380.00,581.00,"Gesicki returned as the Bengals' starting TE in 2025, but an injury to Joe Burrow and a step back for the offense made him unstartable for most of the year. With the bevy of weapons on the Bengals, Gesicki will remain a spot-starter in the short term.",-3.10
429,UNS,Joe Mixon,RB,23.09,18,29.7,87.40,263.00,375.00,442.00,"Mixon quietly assembled the PPR RB6 season in 2023. After a hot start in 2024, his play declined down the stretch. Then in 2025, he missed the entire season with a mysterious foot injury. He'll play elsewhere in 2026.",-3.10
430,RK,Adam Randall,RB,368.10,18,21.7,60.90,228.00,367.00,654.00,"Randall came to Clemson as a WR, but transitioned to RB before 2025. The 6'2, 235 back was a track star in high school, so his size and speed offers a unique runner who succeeded on a weak Clemson offense. He is next in the line of WR to RB players like Tyrone Tracy and Brashard Smith, but Randall may offer even more athletic upside for his size.",-3.10
431,LAC,Keaton Mitchell,RB,19.02,12,24.2,77.20,253.00,382.00,503.00,"Mitchell showed dynamic traits before a December 2023 ACL tear. He missed most of the 2024 season but returned to see part-time work behind Derrick Henry in '25. The results still weren't great: 341 yards and 1 TD on 59 attempts, plus 9 catches for 63 yards. He projects as a part-timer after signing with the Chargers.",-3.10
432,PIT,Kaleb Johnson,RB,17.05,5,22.6,39.10,256.00,403.00,567.00,"Johnson's rookie year proved disastrous. After arriving in Round 3, the Iowa standout spread only 28 carries (for 69 yards) across 10 games. He simply wasn't able to earn a role alongside Jaylen Warren and Kenneth Gainwell. We then saw how little the team believes in Johnson, as Rico Dowdle arrived on a two-year deal. Note that Warren is signed through the 2027 season. ",-3.20
433,MIN,Josh Metellus,DB,N/A,6,28.2,99,159,245,374,"",-3.2
434,BUF,Bradley Chubb,DL,N/A,7,29.8,80,114,148,214,"",-3.2
435,CIN,Myles Murphy,DL,N/A,10,24.2,48,106,178,319,"",-3.2
436,ARI,James Conner,RB,18.08,8,30.8,117.80,228.00,338.00,520.00,"Despite the addition of rookie Trey Benson, Conner remained the clear starter in 2024. Arizona even signed the veteran to an extension in November of '24, although we'd see his momentum hit a wall in 2025. A September ankle injury cost him the rest of the season and required surgery. We'd bet against a major rebound in 2026 -- especially with the Cardinals bringing in a new staff and free agent Tyler Allgeier.",-3.30
437,PIT,T.J. Watt,DL,N/A,5,31.4,79,117,152,218,"",-3.3
438,LAR,Braden Fiske,DL,N/A,8,26.2,42,114,179,286,"",-3.3
439,SEA,Julian Love,DB,N/A,8,28,96,149,235,406,"",-3.5
440,LVR,Isaiah Pola-Mao,DB,N/A,8,26.8,86,159,246,396,"",-3.5
441,GB,Javon Bullard,DB,N/A,5,23.5,68,158,251,446,"",-3.5
442,BAL,Nnamdi Madubuike,DL,N/A,7,28.3,64,111,161,228,"",-3.5
443,GB,Devonte Wyatt,DL,N/A,5,28,56,111,169,245,"",-3.5
444,NO,Devin Neal,RB,19.11,11,22.6,41.10,242.00,378.00,627.00,"Neal broke out as a true freshman on a terrible Kansas team, rushing for 707 yards and eight TDs. Since then, he tallied three straight 1,000-yard seasons, including 1,266 yards and 16 TDs in 2024. He also caught at least 20 passes in each of those three seasons. As a rookie, Neal looked just OK in late-season work with Alvin Kamara sidelined. New Orleans then added a clear-cut RB1 in Travis Etienne.",-3.60
445,ARI,Budda Baker,DB,N/A,8,30.2,103,163,237,339,"",-3.6
446,LAR,Trent McDuffie,DB,N/A,8,25.5,85,159,242,405,"",-3.6
447,DAL,Donovan Ezeiruaku,LB,N/A,10,22.5,57,135,228,433,"",-3.6
448,BUF,Geno Stone,DB,N/A,7,26.9,74,160,247,398,"",-3.7
449,NYJ,Minkah Fitzpatrick,DB,N/A,9,29.3,108,152,232,343,"",-3.8
450,GB,Keisean Nixon,DB,N/A,5,28.8,91,160,246,365,"",-3.8
451,PHI,Tank Bigsby,RB,17.06,9,24.6,42.70,258.00,388.00,519.00,"Bigsby wrapped up a productive career at Auburn with 540-2,903-25 (35 games). He tested as an average athlete at the Combine, however, and his struggles carried over into a mistake-filled first season. Bigsby looked like a different back in 2024, showing the power and burst that made him an attractive prospect. A wrench was thrown into his 2025 plans, as the Jags traded him to Philly over the summer. He’ll remain in a backup/handcuff role. ",-3.90
452,DET,Derrick Barnes,LB,N/A,8,26.8,70,142,223,367,"",-3.9
453,LAR,Omar Speights,LB,N/A,8,25.1,58,137,221,408,"",-4.1
454,CLE,Alex Wright,DL,N/A,9,25.5,51,103,169,258,"",-4.1
455,TEN,Calvin Ridley,WR,22.10,10,31.3,142.60,306.00,467.00,750.00,"Ridley had a disappointing 2025 going 17-303-0. He will likely move on to a new team, but he recently turned 31. Ridley's best days are behind him, but he could be useful in fantasy if he lands in a pass heavy system with a good QB.",-4.20
456,TB,Calijah Kancey,DL,N/A,9,25.1,49,100,160,268,"",-4.2
457,IND,DeForest Buckner,DL,N/A,11,32,74,106,138,204,"",-4.3
458,ATL,Zach Harrison,DL,N/A,5,24.6,55,95,156,258,"",-4.3
459,MIA,Chop Robinson,DL,N/A,12,23.3,39,97,163,309,"",-4.3
460,ARI,Zaven Collins,DL,N/A,8,26.8,37,111,173,247,"",-4.3
461,PHI,Moro Ojomo,DL,N/A,9,24.6,45,100,164,272,"",-4.4
462,RK,Jamarion Miller,RB,N/A,18,21.9,55.80,215.00,348.00,646.00,"Miller never had a breakout season for Alabama, topping out at 504 rushing yards in 2025. His lack of production is concerning, but Miller's skill set as a stout RB who moves nimbly in short spaces makes him an attractive depth RB in the NFL. He has soft hands that weren't showcased enough, too.",-4.50
463,DAL,Ryan Flournoy,WR,22.06,10,26.4,93.20,304.00,484.00,868.00,"An AC Joint sprain to CeeDee Lamb caused Flournoy to get some playing time and take advnatage. He ended 2025 going 40-475-5, but flashed great hands and route running. He should stick on the Cowboys roster and could be among the top three WRs on the team in 2026 and beyond.",-4.50
464,NE,Demario Douglas,WR,25.03,14,25.3,65.30,312.00,501.00,911.00,"Douglas had the worst season of his NFL career in 2025. He went 31-447-3, the lowest reception total of his career. Despite the lack of Patriots' WR options, Douglas couldn't really break through in Drake Maye's second season. He should stick around and have a role, but there is little upside to Douglas going forward.",-4.50
465,WAS,Dorance Armstrong,DL,N/A,12,28.8,61,109,147,205,"",-4.5
466,LAC,Derwin James,DB,N/A,12,29.6,104,156,227,325,"",-4.6
467,SF,Osa Odighizuwa,DL,N/A,14,27.6,40,108,165,239,"",-4.6
468,PIT,DeShon Elliott,DB,N/A,5,28.9,112,145,220,327,"",-4.7
469,WAS,Jartavius Martin,DB,N/A,12,25.9,67,155,243,404,"",-4.7
470,RK,De'Zhaun Stribling,WR,N/A,18,23.3,50.30,300.00,508.00,958.00,"Stribling broke out at Washington State before joining Ole Miss in 2025. He went 55-811-6 in the SEC showcasing great hands and after catch ability. There is a chance that Stribling could sneak his way into the top-100 of the NFL Draft, though his profile suggests he should be more of a reserve WR.",-4.80
471,KC,Brashard Smith,RB,21.09,10,22.9,74.20,213.00,338.00,605.00,"Similar to Tyrone Tracy, Brashard Smith spent most of his collegiate career as a WR. After transferring to SMU from Miami, Smith changed positions to RB and was the central part of their offensive success. Lining up both wide and in the backfield, he is an intriguing weapon with great short-area quickness and ability. We saw flashes of that in Year 1, although the Chiefs appeared hesitant to truly unleash him. Smith will remain no more than a part-timer moving forward, especially after the signing of Kenneth Walker.",-4.90
472,DAL,Jalen Thompson,DB,N/A,10,27.7,89,150,231,353,"",-4.9
473,NYJ,Isaiah Davis,RB,24.02,9,24.1,62.60,242.00,365.00,480.00,"Davis' college tape featured a nice combo of power, patience, and vision. The Jets' landing spot just hasn't been a friendly one, especially with Breece Hall returning on the franchise tag. Davis will also be pushed by third-year RB Braelon Allen.",-5.00
474,NE,Milton Williams,DL,N/A,14,26.9,50,101,159,228,"",-5
475,RK,Tanner Koziol,TE,N/A,18,23.2,57.10,213.00,363.00,674.00,"Koziol went 94-839-8 in 2024 with Ball State before transferring to Houston. His 74-727-6 showcases Koziol's pass-catching prowess. His massive wingspan makes him a mismatch at 6'7, 250 pounds. He can be used as a red zone option in the NFL, though he lacks the leverage needed as a blocker. He could be an intriguing sleeper in the right situation.",-5.10
476,CLE,Isaiah Bond,WR,21.06,9,22,63.20,289.00,488.00,976.00,"Bond went undrafted in April's draft but was signed by the Browns when cleared of off field charges. He was on the field often, ending the season going 18-338-0. A high ankle sprain cut his season short, but Bond showed enough to stick on the Browns roster as a young, talented WR.",-5.10
477,HOU,Jalen Pitre,DB,N/A,6,26.8,86,146,227,364,"",-5.2
478,HOU,Derek Stingley,DB,N/A,6,24.8,68,151,235,400,"",-5.2
479,LAC,Tarheeb Still,DB,N/A,12,23.8,67,146,233,411,"",-5.2
480,SF,Isaac Guerendo,RB,457.09,14,25.8,49.10,234.00,354.00,541.00,"Guerendo brings excellent long speed, and he showed it at the Combine with a 4.33 forty-time. He also jumped 41.5 inches and tallied a 10’9” broad jump – all at 221 pounds. We saw that in a narrow window in 2024, although injuries limited his late-season impact. The 49ers showed their lack of faith in Guerendo by using a Round 5 pick on '25 rookie Jordan James. They also traded for Brian Robinson Jr. Ultimately, Guerendo is just a dynasty stash.",-5.30
481,BAL,Trey Hendrickson,DL,N/A,7,31.3,78,94,122,176,"",-5.3
482,NYG,Jason Sanders,K,234.03,14,30.3,136,283,455,840,"",-5.4
483,CAR,Michael Jackson,DB,N/A,14,29.2,82,150,231,343,"",-5.4
484,NE,Marcus Jones,DB,N/A,14,27.4,73,148,234,385,"",-5.4
485,BUF,Christian Benford,DB,N/A,7,25.5,73,149,234,393,"",-5.4
486,DET,Alim McNeill,DL,N/A,8,25.8,46,94,148,236,"",-5.5
487,RK,Cole Payton,QB,366.08,18,23.1,7.90,463.00,786.00,1555.00,"Payton is a small school prospect with only one year of starting. He led a successful NDSU offense throwing for 2,719 yards with 16 TDs and 4 INTs. He is a big QB who can take hits and keeps his eyes downfield, but Payton will be a developmental prospect.",-5.60
488,SEA,Emanuel Wilson,RB,18.11,8,26.8,69.00,222.00,345.00,513.00,"Wilson saw a surprising 103 carries in 2024, posting 4.9 YPC. His workload rose in '25, largely because of missed games from Josh Jacobs. Wilson hit the spring as a free agent and signed with a Seahawks team that just lost Kenneth Walker to the Chiefs. Zach Charbonnet is also coming off a January ACL tear.",-5.60
489,TB,Sean Tucker,RB,20.04,9,24.4,68.50,234.00,352.00,470.00,"As a rookie, Tucker watched Rachaad White eventually earn a workhorse role. Then in 2024, he witnessed the breakout of Bucky Irving. Outside of one game vs. Buffalo, Tucker remained quiet in 2025. He returned to Tampa Bay in March, but the signing of Kenneth Gainwell ruins any shot at '26 value.",-5.60
490,DAL,DaRon Bland,DB,N/A,10,26.7,88,142,226,371,"",-5.6
491,BAL,Marlon Humphrey,DB,N/A,7,29.7,88,154,230,326,"",-5.6
492,TEN,Amani Hooker,DB,N/A,10,27.8,88,146,225,344,"",-5.6
493,NO,Pete Werner,LB,N/A,11,27.8,56,137,212,338,"",-5.6
494,LAR,Josaiah Stewart,DL,N/A,8,22.9,36,88,150,286,"",-5.6
495,RK,Sam Roush,TE,367.07,18,22.8,56.80,206.00,351.00,652.00,"Roush has improved every season, topping out at 49-545-2 in 2025 for Stanford. At 6'5, 260 pounds, he brings excellent size and blocking ability, but there's also some red zone upside here. Roush could get drafted in the middle rounds in April.",-5.70
496,TB,Tez Johnson,WR,21.08,9,23.8,40.10,294.00,498.00,953.00,"Johnson stepped up when injuries ravaged the Buccaneers' WRs in 2025. He finished his rookie season going 28-322-5. The depth chart may not give Johnson an opportunity to play a lot moving forward, but his talent makes him rosterable in most dynasty league formats.",-5.80
497,NE,Christian Barmore,DL,N/A,14,26.7,49,92,142,215,"",-5.8
498,SEA,Derick Hall,DL,N/A,8,25,39,90,151,248,"",-5.8
499,SF,Dee Winters,LB,N/A,14,25.4,34,136,219,384,"",-5.9
500,RK,Seth McGowan,RB,N/A,18,22.4,60.70,203.00,330.00,616.00,"McGowan started at Oklahoma but was charged with robbery and battery on a drug-related crime. He transferred to New Mexico State and succeeded as their starter. Finally, he ended in Kentucky this past year, rushing for 165-725-12. McGowan has good size and burst, staying balanced through contact. If has has matured since the off field concerns, McGowan could be a late round draft pick.",-6.00
501,BUF,Ray Davis,RB,21.04,7,26.3,42.70,240.00,346.00,509.00,"Davis tallied back-to-back 1,000-yard rushing seasons -- one at Vanderbilt and one at Kentucky (2023). 2023 turned up his best work yet, including 3.81 yards after contact per attempt and a career-long 75-yarder on a sizable 73% carry share. After a promising rookie year, Davis' workload regressed in 2025, with 34% of his touches coming in a meaningless Week 18 game. He'll remain far behind James Cook in 2026.",-6.00
502,IND,Camryn Bynum,DB,N/A,11,27.7,81,147,226,345,"",-6
503,JAC,Antonio Johnson,DB,N/A,8,24.4,54,144,238,425,"",-6
504,RK,Michael Trigg,TE,20.12,18,23.8,73.10,207.00,336.00,602.00,"Trigg was a highly recruited TE who started at USC. He transferred to Ole Miss and did very little before finally finding a good home at Baylor. His output: 50 catches, 694 yards, and 6 scores. Trigg's athleticism allows him to do damage after the catch at 6'4, 240 pounds. He has receiving upside and could sneak into Day 2.",-6.10
505,MIN,Byron Murphy,DB,N/A,6,28.2,79,146,230,358,"",-6.1
506,CHI,Coby Bryant,DB,N/A,5,27,79,145,224,360,"",-6.1
507,GB,Karl Brooks,DL,N/A,5,25.8,42,91,143,228,"",-6.1
508,RK,Josiah Trotter,LB,N/A,18,20.9,39,122,211,424,"",-6.1
509,HOU,Logan Hall,DL,N/A,6,25.9,33,93,147,235,"",-6.1
510,RK,Garrett Nussmeier,QB,19.01,18,24.1,179.50,404.00,683.00,1319.00,"Nussmeier showcased a strong arm in 2024 at LSU, throwing for 4,052 yards with 29 TDs and 12 INTs. He dealt with an abdominal strain all season in 2025, causing him to miss the final four games. He is a pure pocket passer who can get the ball out quickly and likes taking risks, but he may be tough for NFL teams to trust before Day 3.",-6.20
511,SF,Ji'ayir Brown,DB,N/A,14,26.2,78,142,222,369,"",-6.2
512,CIN,Jonathan Allen,DL,N/A,10,31.2,63,95,125,176,"",-6.2
513,NE,Andres Borregales,K,408.06,14,24.3,154,255,438,893,"",-6.3
514,BUF,Chauncey Gardner-Johnson,DB,N/A,7,28.3,85,143,221,337,"",-6.3
515,CIN,Bryan Cook,DB,N/A,10,26.5,82,144,223,358,"",-6.3
516,SEA,Uchenna Nwosu,DL,N/A,8,29.3,48,97,131,182,"",-6.3
517,BAL,Rashod Bateman,WR,23.06,7,26.3,89.60,295.00,469.00,799.00,"Bateman continues struggling with the Ravens. He only went 19-224-2 in 2025. He signed a new deal with the Ravens and returns for the forseeable future, but a new head coach could mean Bateman loses his starting role.",-6.40
518,DEN,Justin Strnad,LB,N/A,12,29.6,77,129,193,287,"",-6.4
519,DEN,Marvin Mims Jr.,WR,22.08,12,24,77.50,278.00,472.00,903.00,"Mims Jr. fell behind Troy Franklin and Pat Bryan in the WR pecking order. He went 37-322-1, but Mims is still an elite returner who will stick on the roster. He just won't have the fantasy impact that was promised when he was drafted.",-6.50
520,SF,Sam Okuayinonu,DL,N/A,14,27.9,42,96,138,193,"",-6.5
